,ws,Technology,par,unit,est,year,val
53,ptes seasonal,pit thermal energy storage [ptes],energy losses during storage,K/day,upper,2050,0.1
54,ptes seasonal,pit thermal energy storage [ptes],energy losses during storage,K/day,control,2020,0.08
55,ptes seasonal,pit thermal energy storage [ptes],energy losses during storage,K/day,control,2025,0.08
56,ptes seasonal,pit thermal energy storage [ptes],energy losses during storage,K/day,control,2030,0.08
57,ptes seasonal,pit thermal energy storage [ptes],energy losses during storage,K/day,control,2035,0.08
58,ptes seasonal,pit thermal energy storage [ptes],energy losses during storage,K/day,control,2040,0.08
59,ptes seasonal,pit thermal energy storage [ptes],energy losses during storage,K/day,control,2050,0.08
60,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,lower,2020,4500.0
61,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,lower,2050,4500.0
62,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,upper,2020,4500.0
63,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,upper,2050,4500.0
64,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,control,2020,4500.0
65,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,control,2025,4500.0
66,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,control,2030,4500.0
67,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,control,2035,4500.0
68,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,control,2040,4500.0
69,ptes seasonal,pit thermal energy storage [ptes],energy storage capacity for one unit,MWh,control,2050,4500.0
70,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,lower,2020,0.0
71,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,lower,2050,0.0
72,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,upper,2020,0.0
73,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,upper,2050,0.0
74,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,control,2020,0.0
75,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,control,2025,0.0
76,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,control,2030,0.0
77,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,control,2035,0.0
78,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,control,2040,0.0
79,ptes seasonal,pit thermal energy storage [ptes],forced outage,percent,control,2050,0.0
90,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,lower,2020,30.0
91,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,lower,2050,30.0
92,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,upper,2020,150.0
93,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,upper,2050,200.0
94,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,control,2020,30.0
95,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,control,2025,30.0
96,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,control,2030,150.0
97,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,control,2035,200.0
98,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,control,2040,200.0
99,ptes seasonal,pit thermal energy storage [ptes],input capacity for one unit,MW,control,2050,200.0
100,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,lower,2020,30.0
101,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,lower,2050,30.0
102,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,upper,2020,150.0
103,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,upper,2050,200.0
104,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,control,2020,30.0
105,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,control,2025,30.0
106,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,control,2030,150.0
107,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,control,2035,200.0
108,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,control,2040,200.0
109,ptes seasonal,pit thermal energy storage [ptes],output capacity for one unit,MW,control,2050,200.0
110,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,lower,2020,1.0
111,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,lower,2050,1.0
112,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,upper,2020,1.0
113,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,upper,2050,1.0
114,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,control,2020,1.0
115,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,control,2025,1.0
116,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,control,2030,1.0
117,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,control,2035,1.0
118,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,control,2040,1.0
119,ptes seasonal,pit thermal energy storage [ptes],planned outage,weeks/year,control,2050,1.0
120,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,lower,2020,0.75
121,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,lower,2050,0.8
122,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,upper,2020,0.9
123,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,upper,2050,0.95
124,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,control,2020,0.8
125,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,control,2025,0.8
126,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,control,2030,0.8
127,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,control,2035,0.8
128,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,control,2040,0.8
129,ptes seasonal,pit thermal energy storage [ptes],round trip efficiency,percent,control,2050,0.8
130,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,lower,2020,20.0
131,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,lower,2050,30.0
132,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,upper,2020,40.0
133,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,upper,2050,50.0
134,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,control,2020,20.0
135,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,control,2025,30.0
136,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,control,2030,30.0
137,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,control,2035,30.0
138,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,control,2040,30.0
139,ptes seasonal,pit thermal energy storage [ptes],technical lifetime,years,control,2050,30.0
140,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,lower,2020,75.0
141,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,lower,2050,75.0
142,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,upper,2020,75.0
143,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,upper,2050,75.0
144,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,control,2020,75.0
145,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,control,2025,75.0
146,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,control,2030,75.0
147,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,control,2035,75.0
148,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,control,2040,75.0
149,ptes seasonal,pit thermal energy storage [ptes],hereof equipment,percent,control,2050,75.0
150,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,lower,2020,25.0
151,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,lower,2050,25.0
152,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,upper,2020,25.0
153,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,upper,2050,25.0
154,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,control,2020,25.0
155,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,control,2025,25.0
156,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,control,2030,25.0
157,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,control,2035,25.0
