,ws,Technology,par,unit,est,year,val
582,small scale hot water tank,small-scale hot water tanks (steel),specific investment,EUR_2020/kWh,upper,2020,133.127
583,small scale hot water tank,small-scale hot water tanks (steel),specific investment,EUR_2020/kWh,upper,2050,133.127
584,small scale hot water tank,small-scale hot water tanks (steel),specific investment,EUR_2020/kWh,control,2015,419.862
585,small scale hot water tank,small-scale hot water tanks (steel),specific investment,EUR_2020/kWh,control,2020,419.862
586,small scale hot water tank,small-scale hot water tanks (steel),specific investment,EUR_2020/kWh,control,2030,419.862
587,small scale hot water tank,small-scale hot water tanks (steel),specific investment,EUR_2020/kWh,control,2040,419.862
588,small scale hot water tank,small-scale hot water tanks (steel),specific investment,EUR_2020/kWh,control,2050,419.862
589,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,lower,2020,0.0
590,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,lower,2050,0.0
591,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,upper,2020,0.717
592,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,upper,2050,1.229
593,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,control,2015,0.614
594,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,control,2020,0.717
595,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,control,2030,1.024
596,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,control,2040,1.229
597,small scale hot water tank,small-scale hot water tanks (steel),variable o&m,EUR_2020/MWh,control,2050,1.229
598,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,lower,2020,97.0
599,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,lower,2050,97.0
600,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,upper,2020,90.0
601,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,upper,2050,90.0
602,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,control,2015,92.0
603,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,control,2020,92.0
604,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,control,2030,92.0
605,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,control,2040,92.0
606,small scale hot water tank,small-scale hot water tanks (steel),efficiency at typical cycle period,percent,control,2050,92.0
607,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,lower,2020,50.0
608,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,lower,2050,50.0
609,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,upper,2020,300.0
610,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,upper,2050,300.0
611,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,control,2015,90.0
612,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,control,2020,90.0
613,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,control,2030,90.0
614,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,control,2040,90.0
615,small scale hot water tank,small-scale hot water tanks (steel),tank volume of example,l,control,2050,90.0
616,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,lower,2020,30.0
617,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,lower,2050,30.0
618,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,upper,2020,60.0
619,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,upper,2050,60.0
620,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,control,2015,30.0
621,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,control,2020,30.0
622,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,control,2030,30.0
623,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,control,2040,30.0
624,small scale hot water tank,small-scale hot water tanks (steel),typical temperature difference in storage,K,control,2050,30.0
625,rock-based carnot battery,carnot battery,charge efficiency,percent,lower,2025,98.0
626,rock-based carnot battery,carnot battery,charge efficiency,percent,lower,2050,98.0
627,rock-based carnot battery,carnot battery,charge efficiency,percent,upper,2025,99.0
628,rock-based carnot battery,carnot battery,charge efficiency,percent,upper,2050,99.0
629,rock-based carnot battery,carnot battery,charge efficiency,percent,control,2025,99.0
630,rock-based carnot battery,carnot battery,charge efficiency,percent,control,2030,99.0
631,rock-based carnot battery,carnot battery,charge efficiency,percent,control,2035,99.0
632,rock-based carnot battery,carnot battery,charge efficiency,percent,control,2040,99.0
633,rock-based carnot battery,carnot battery,charge efficiency,percent,control,2050,99.0
634,rock-based carnot battery,carnot battery,discharge efficiency,percent,lower,2025,93.0
635,rock-based carnot battery,carnot battery,discharge efficiency,percent,lower,2050,93.0
636,rock-based carnot battery,carnot battery,discharge efficiency,percent,upper,2025,97.0
637,rock-based carnot battery,carnot battery,discharge efficiency,percent,upper,2050,97.0
638,rock-based carnot battery,carnot battery,discharge efficiency,percent,control,2025,96.0
639,rock-based carnot battery,carnot battery,discharge efficiency,percent,control,2030,96.0
640,rock-based carnot battery,carnot battery,discharge efficiency,percent,control,2035,96.0
641,rock-based carnot battery,carnot battery,discharge efficiency,percent,control,2040,96.0
642,rock-based carnot battery,carnot battery,discharge efficiency,percent,control,2050,96.0
652,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,lower,2025,4.05
653,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,lower,2050,3.125
654,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,upper,2025,4.95
655,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,upper,2050,3.82
656,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2025,4.5
657,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2030,4.275
658,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2035,4.061
659,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2040,3.858
660,rock-based carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2050,3.472
661,rock-based carnot battery,carnot battery,construction time,years,lower,2025,1.0
662,rock-based carnot battery,carnot battery,construction time,years,lower,2050,1.0
663,rock-based carnot battery,carnot battery,construction time,years,upper,2025,2.0
664,rock-based carnot battery,carnot battery,construction time,years,upper,2050,2.0
665,rock-based carnot battery,carnot battery,construction time,years,control,2025,1.5
666,rock-based carnot battery,carnot battery,construction time,years,control,2030,1.5
667,rock-based carnot battery,carnot battery,construction time,years,control,2035,1.5
668,rock-based carnot battery,carnot battery,construction time,years,control,2040,1.5
669,rock-based carnot battery,carnot battery,construction time,years,control,2050,1.5
670,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,lower,2025,0.09
671,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,lower,2050,0.09
672,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,upper,2025,0.11
673,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,upper,2050,0.11
674,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,control,2025,0.143
675,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,control,2030,0.143
676,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,control,2035,0.143
677,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,control,2040,0.143
678,rock-based carnot battery,carnot battery,energy losses during storage,percent/day,control,2050,0.143
679,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,lower,2025,100.0
680,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,lower,2050,100.0
681,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,upper,2025,500.0
682,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,upper,2050,500.0
683,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2025,300.0
684,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2030,300.0
685,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2035,300.0
686,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2040,300.0
687,rock-based carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2050,300.0
697,rock-based carnot battery,carnot battery,input capacity for one unit,MW,lower,2025,5.0
698,rock-based carnot battery,carnot battery,input capacity for one unit,MW,lower,2050,5.0
699,rock-based carnot battery,carnot battery,input capacity for one unit,MW,upper,2025,50.0
700,rock-based carnot battery,carnot battery,input capacity for one unit,MW,upper,2050,50.0
701,rock-based carnot battery,carnot battery,input capacity for one unit,MW,control,2025,15.0
702,rock-based carnot battery,carnot battery,input capacity for one unit,MW,control,2030,15.0
703,rock-based carnot battery,carnot battery,input capacity for one unit,MW,control,2035,15.0
704,rock-based carnot battery,carnot battery,input capacity for one unit,MW,control,2040,15.0
705,rock-based carnot battery,carnot battery,input capacity for one unit,MW,control,2050,15.0
706,rock-based carnot battery,carnot battery,output capacity for one unit,MW,lower,2025,5.0
707,rock-based carnot battery,carnot battery,output capacity for one unit,MW,lower,2050,5.0
708,rock-based carnot battery,carnot battery,output capacity for one unit,MW,upper,2025,50.0
709,rock-based carnot battery,carnot battery,output capacity for one unit,MW,upper,2050,50.0
710,rock-based carnot battery,carnot battery,output capacity for one unit,MW,control,2025,10.0
711,rock-based carnot battery,carnot battery,output capacity for one unit,MW,control,2030,10.0
712,rock-based carnot battery,carnot battery,output capacity for one unit,MW,control,2035,10.0
713,rock-based carnot battery,carnot battery,output capacity for one unit,MW,control,2040,10.0
714,rock-based carnot battery,carnot battery,output capacity for one unit,MW,control,2050,10.0
715,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,lower,2025,5.0
716,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,lower,2050,5.0
717,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,upper,2025,15.0
718,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,upper,2050,15.0
719,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,control,2025,10.0
720,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,control,2030,10.0
721,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,control,2035,10.0
722,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,control,2040,10.0
723,rock-based carnot battery,carnot battery,round trip efficiency ptp,percent,control,2050,10.0
724,rock-based carnot battery,carnot battery,system efficiency pth,percent,lower,2025,91.14
725,rock-based carnot battery,carnot battery,system efficiency pth,percent,lower,2050,91.14
726,rock-based carnot battery,carnot battery,system efficiency pth,percent,upper,2025,96.03
727,rock-based carnot battery,carnot battery,system efficiency pth,percent,upper,2050,96.03
728,rock-based carnot battery,carnot battery,system efficiency pth,percent,control,2025,95.04
729,rock-based carnot battery,carnot battery,system efficiency pth,percent,control,2030,95.04
730,rock-based carnot battery,carnot battery,system efficiency pth,percent,control,2035,95.04
731,rock-based carnot battery,carnot battery,system efficiency pth,percent,control,2040,95.04
732,rock-based carnot battery,carnot battery,system efficiency pth,percent,control,2050,95.04
733,rock-based carnot battery,carnot battery,technical lifetime,years,lower,2025,25.0
734,rock-based carnot battery,carnot battery,technical lifetime,years,lower,2050,25.0
735,rock-based carnot battery,carnot battery,technical lifetime,years,upper,2025,25.0
736,rock-based carnot battery,carnot battery,technical lifetime,years,upper,2050,25.0
737,rock-based carnot battery,carnot battery,technical lifetime,years,control,2025,25.0
738,rock-based carnot battery,carnot battery,technical lifetime,years,control,2030,25.0
739,rock-based carnot battery,carnot battery,technical lifetime,years,control,2035,25.0
740,rock-based carnot battery,carnot battery,technical lifetime,years,control,2040,25.0
741,rock-based carnot battery,carnot battery,technical lifetime,years,control,2050,25.0
742,rock-based carnot battery,carnot battery,hereof equipment,percent,lower,2025,80.0
743,rock-based carnot battery,carnot battery,hereof equipment,percent,lower,2050,80.0
744,rock-based carnot battery,carnot battery,hereof equipment,percent,upper,2025,80.0
745,rock-based carnot battery,carnot battery,hereof equipment,percent,upper,2050,80.0
746,rock-based carnot battery,carnot battery,hereof equipment,percent,control,2025,80.0
747,rock-based carnot battery,carnot battery,hereof equipment,percent,control,2030,80.0
748,rock-based carnot battery,carnot battery,hereof equipment,percent,control,2035,80.0
749,rock-based carnot battery,carnot battery,hereof equipment,percent,control,2040,80.0
750,rock-based carnot battery,carnot battery,hereof equipment,percent,control,2050,80.0
751,rock-based carnot battery,carnot battery,hereof installation,percent,lower,2025,20.0
752,rock-based carnot battery,carnot battery,hereof installation,percent,lower,2050,20.0
753,rock-based carnot battery,carnot battery,hereof installation,percent,upper,2025,20.0
754,rock-based carnot battery,carnot battery,hereof installation,percent,upper,2050,20.0
755,rock-based carnot battery,carnot battery,hereof installation,percent,control,2025,20.0
756,rock-based carnot battery,carnot battery,hereof installation,percent,control,2030,20.0
757,rock-based carnot battery,carnot battery,hereof installation,percent,control,2035,20.0
758,rock-based carnot battery,carnot battery,hereof installation,percent,control,2040,20.0
759,rock-based carnot battery,carnot battery,hereof installation,percent,control,2050,20.0
760,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,lower,2025,52200.0
761,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,lower,2050,40279.0
762,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,upper,2025,167040.0
763,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,upper,2050,128894.0
764,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,control,2025,120444.0
765,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,control,2030,114421.0
766,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,control,2035,108700.0
767,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,control,2040,103265.0
768,rock-based carnot battery,carnot battery,specific investment input capacity,EUR_2020/MW,control,2050,92939.0
769,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,lower,2025,13050.0
770,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,lower,2050,10070.0
771,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,upper,2025,41760.0
772,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,upper,2050,32224.0
773,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,control,2025,30111.0
774,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,control,2030,28605.0
775,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,control,2035,27175.0
776,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,control,2040,25816.0
777,rock-based carnot battery,carnot battery,specific investment output capacity,EUR_2020/MW,control,2050,23235.0
778,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,lower,2025,5655.0
779,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,lower,2050,4364.0
780,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,upper,2025,18096.0
781,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,upper,2050,13964.0
782,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,control,2025,13048.0
783,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,control,2030,12396.0
784,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,control,2035,11776.0
785,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,control,2040,11187.0
786,rock-based carnot battery,carnot battery,specific investment,EUR_2020/MWh,control,2050,10068.0
787,rock-based carnot battery,carnot battery,primary regulation,percent,lower,2025,0.5
788,rock-based carnot battery,carnot battery,primary regulation,percent,lower,2050,0.5
789,rock-based carnot battery,carnot battery,primary regulation,percent,upper,2025,0.5
790,rock-based carnot battery,carnot battery,primary regulation,percent,upper,2050,0.5
791,rock-based carnot battery,carnot battery,primary regulation,percent,control,2025,0.5
792,rock-based carnot battery,carnot battery,primary regulation,percent,control,2030,0.5
793,rock-based carnot battery,carnot battery,primary regulation,percent,control,2035,0.5
794,rock-based carnot battery,carnot battery,primary regulation,percent,control,2040,0.5
795,rock-based carnot battery,carnot battery,primary regulation,percent,control,2050,0.5
796,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,lower,2025,1.0
797,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,lower,2050,1.0
798,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,upper,2025,1.0
799,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,upper,2050,1.0
800,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,control,2025,1.0
801,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,control,2030,1.0
802,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,control,2035,1.0
803,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,control,2040,1.0
804,rock-based carnot battery,carnot battery,secondary regulation,percent/minute,control,2050,1.0
805,rock-based carnot battery,carnot battery,tank volume of example,meter**3,lower,2025,1000.0
806,rock-based carnot battery,carnot battery,tank volume of example,meter**3,lower,2050,1000.0
807,rock-based carnot battery,carnot battery,tank volume of example,meter**3,upper,2025,5000.0
808,rock-based carnot battery,carnot battery,tank volume of example,meter**3,upper,2050,5000.0
809,rock-based carnot battery,carnot battery,tank volume of example,meter**3,control,2025,3000.0
810,rock-based carnot battery,carnot battery,tank volume of example,meter**3,control,2030,3000.0
811,rock-based carnot battery,carnot battery,tank volume of example,meter**3,control,2035,3000.0
812,rock-based carnot battery,carnot battery,tank volume of example,meter**3,control,2040,3000.0
813,rock-based carnot battery,carnot battery,tank volume of example,meter**3,control,2050,3000.0
814,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,lower,2025,225.0
815,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,lower,2050,225.0
816,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,upper,2025,225.0
817,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,upper,2050,225.0
818,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,control,2025,225.0
819,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,control,2030,225.0
820,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,control,2035,225.0
821,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,control,2040,225.0
822,rock-based carnot battery,carnot battery,typical temperature difference in storage,K,control,2050,225.0
823,molten salt carnot battery,carnot battery,charge efficiency,percent,lower,2025,98.0
824,molten salt carnot battery,carnot battery,charge efficiency,percent,lower,2050,98.0
825,molten salt carnot battery,carnot battery,charge efficiency,percent,upper,2025,98.0
826,molten salt carnot battery,carnot battery,charge efficiency,percent,upper,2050,98.0
827,molten salt carnot battery,carnot battery,charge efficiency,percent,control,2025,98.0
828,molten salt carnot battery,carnot battery,charge efficiency,percent,control,2030,98.0
829,molten salt carnot battery,carnot battery,charge efficiency,percent,control,2035,98.0
830,molten salt carnot battery,carnot battery,charge efficiency,percent,control,2040,98.0
831,molten salt carnot battery,carnot battery,charge efficiency,percent,control,2050,98.0
832,molten salt carnot battery,carnot battery,discharge efficiency,percent,lower,2025,95.0
833,molten salt carnot battery,carnot battery,discharge efficiency,percent,lower,2050,95.0
834,molten salt carnot battery,carnot battery,discharge efficiency,percent,upper,2025,95.0
835,molten salt carnot battery,carnot battery,discharge efficiency,percent,upper,2050,95.0
836,molten salt carnot battery,carnot battery,discharge efficiency,percent,control,2025,95.0
837,molten salt carnot battery,carnot battery,discharge efficiency,percent,control,2030,95.0
838,molten salt carnot battery,carnot battery,discharge efficiency,percent,control,2035,95.0
839,molten salt carnot battery,carnot battery,discharge efficiency,percent,control,2040,95.0
840,molten salt carnot battery,carnot battery,discharge efficiency,percent,control,2050,95.0
850,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,lower,2025,1.0
851,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,lower,2050,1.0
852,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,upper,2025,1.0
853,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,upper,2050,1.0
854,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2025,1.0
855,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2030,1.0
856,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2035,1.0
857,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2040,1.0
858,molten salt carnot battery,carnot battery,auxiliary electricity consumption,percent,control,2050,1.0
859,molten salt carnot battery,carnot battery,construction time,years,lower,2025,0.5
860,molten salt carnot battery,carnot battery,construction time,years,lower,2050,0.5
861,molten salt carnot battery,carnot battery,construction time,years,upper,2025,1.5
862,molten salt carnot battery,carnot battery,construction time,years,upper,2050,1.5
863,molten salt carnot battery,carnot battery,construction time,years,control,2025,1.0
864,molten salt carnot battery,carnot battery,construction time,years,control,2030,1.0
865,molten salt carnot battery,carnot battery,construction time,years,control,2035,1.0
866,molten salt carnot battery,carnot battery,construction time,years,control,2040,1.0
867,molten salt carnot battery,carnot battery,construction time,years,control,2050,1.0
877,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,lower,2025,100.0
878,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,lower,2050,100.0
879,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,upper,2025,200.0
880,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,upper,2050,1000.0
881,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2025,200.0
882,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2030,800.0
883,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2035,800.0
884,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2040,800.0
885,molten salt carnot battery,carnot battery,energy storage capacity for one unit,MWh,control,2050,800.0
886,molten salt carnot battery,carnot battery,forced outage,percent,lower,2025,3.0
887,molten salt carnot battery,carnot battery,forced outage,percent,lower,2050,1.0
888,molten salt carnot battery,carnot battery,forced outage,percent,upper,2025,15.0
889,molten salt carnot battery,carnot battery,forced outage,percent,upper,2050,5.0
890,molten salt carnot battery,carnot battery,forced outage,percent,control,2025,5.0
891,molten salt carnot battery,carnot battery,forced outage,percent,control,2030,4.0
892,molten salt carnot battery,carnot battery,forced outage,percent,control,2035,3.0
893,molten salt carnot battery,carnot battery,forced outage,percent,control,2040,2.0
894,molten salt carnot battery,carnot battery,forced outage,percent,control,2050,2.0
904,molten salt carnot battery,carnot battery,input capacity for one unit,MW,lower,2025,10.0
905,molten salt carnot battery,carnot battery,input capacity for one unit,MW,lower,2050,10.0
906,molten salt carnot battery,carnot battery,input capacity for one unit,MW,upper,2025,120.0
907,molten salt carnot battery,carnot battery,input capacity for one unit,MW,upper,2050,120.0
908,molten salt carnot battery,carnot battery,input capacity for one unit,MW,control,2025,30.0
909,molten salt carnot battery,carnot battery,input capacity for one unit,MW,control,2030,120.0
910,molten salt carnot battery,carnot battery,input capacity for one unit,MW,control,2035,120.0
911,molten salt carnot battery,carnot battery,input capacity for one unit,MW,control,2040,120.0
912,molten salt carnot battery,carnot battery,input capacity for one unit,MW,control,2050,120.0
913,molten salt carnot battery,carnot battery,output capacity for one unit,MW,lower,2025,10.0
914,molten salt carnot battery,carnot battery,output capacity for one unit,MW,lower,2050,10.0
915,molten salt carnot battery,carnot battery,output capacity for one unit,MW,upper,2025,100.0
916,molten salt carnot battery,carnot battery,output capacity for one unit,MW,upper,2050,100.0
917,molten salt carnot battery,carnot battery,output capacity for one unit,MW,control,2025,12.0
918,molten salt carnot battery,carnot battery,output capacity for one unit,MW,control,2030,50.0
919,molten salt carnot battery,carnot battery,output capacity for one unit,MW,control,2035,50.0
920,molten salt carnot battery,carnot battery,output capacity for one unit,MW,control,2040,50.0
921,molten salt carnot battery,carnot battery,output capacity for one unit,MW,control,2050,50.0
922,molten salt carnot battery,carnot battery,planned outage,weeks/year,lower,2025,3.0
923,molten salt carnot battery,carnot battery,planned outage,weeks/year,lower,2050,3.0
924,molten salt carnot battery,carnot battery,planned outage,weeks/year,upper,2025,3.0
925,molten salt carnot battery,carnot battery,planned outage,weeks/year,upper,2050,3.0
926,molten salt carnot battery,carnot battery,planned outage,weeks/year,control,2025,3.0
927,molten salt carnot battery,carnot battery,planned outage,weeks/year,control,2030,3.0
928,molten salt carnot battery,carnot battery,planned outage,weeks/year,control,2035,3.0
929,molten salt carnot battery,carnot battery,planned outage,weeks/year,control,2040,3.0
930,molten salt carnot battery,carnot battery,planned outage,weeks/year,control,2050,3.0
931,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,lower,2025,10.0
932,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,lower,2050,10.0
933,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,upper,2025,40.0
934,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,upper,2050,40.0
935,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,control,2025,30.0
936,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,control,2030,30.0
937,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,control,2035,30.0
938,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,control,2040,30.0
939,molten salt carnot battery,carnot battery,round trip efficiency ptp,percent,control,2050,30.0
940,molten salt carnot battery,carnot battery,system efficiency pth,percent,lower,2025,92.0
941,molten salt carnot battery,carnot battery,system efficiency pth,percent,lower,2050,92.0
942,molten salt carnot battery,carnot battery,system efficiency pth,percent,upper,2025,92.0
943,molten salt carnot battery,carnot battery,system efficiency pth,percent,upper,2050,92.0
944,molten salt carnot battery,carnot battery,system efficiency pth,percent,control,2025,92.0
945,molten salt carnot battery,carnot battery,system efficiency pth,percent,control,2030,92.0
946,molten salt carnot battery,carnot battery,system efficiency pth,percent,control,2035,92.0
947,molten salt carnot battery,carnot battery,system efficiency pth,percent,control,2040,92.0
948,molten salt carnot battery,carnot battery,system efficiency pth,percent,control,2050,92.0
949,molten salt carnot battery,carnot battery,technical lifetime,years,lower,2025,25.0
950,molten salt carnot battery,carnot battery,technical lifetime,years,lower,2050,25.0
951,molten salt carnot battery,carnot battery,technical lifetime,years,upper,2025,25.0
952,molten salt carnot battery,carnot battery,technical lifetime,years,upper,2050,25.0
953,molten salt carnot battery,carnot battery,technical lifetime,years,control,2025,25.0
954,molten salt carnot battery,carnot battery,technical lifetime,years,control,2030,25.0
955,molten salt carnot battery,carnot battery,technical lifetime,years,control,2035,25.0
956,molten salt carnot battery,carnot battery,technical lifetime,years,control,2040,25.0
957,molten salt carnot battery,carnot battery,technical lifetime,years,control,2050,25.0
958,molten salt carnot battery,carnot battery,hereof equipment,percent,lower,2025,40.0
959,molten salt carnot battery,carnot battery,hereof equipment,percent,lower,2050,40.0
960,molten salt carnot battery,carnot battery,hereof equipment,percent,upper,2025,40.0
961,molten salt carnot battery,carnot battery,hereof equipment,percent,upper,2050,40.0
962,molten salt carnot battery,carnot battery,hereof equipment,percent,control,2025,40.0
963,molten salt carnot battery,carnot battery,hereof equipment,percent,control,2030,40.0
964,molten salt carnot battery,carnot battery,hereof equipment,percent,control,2035,40.0
965,molten salt carnot battery,carnot battery,hereof equipment,percent,control,2040,40.0
966,molten salt carnot battery,carnot battery,hereof equipment,percent,control,2050,40.0
967,molten salt carnot battery,carnot battery,hereof installation,percent,lower,2025,60.0
968,molten salt carnot battery,carnot battery,hereof installation,percent,lower,2050,60.0
969,molten salt carnot battery,carnot battery,hereof installation,percent,upper,2025,60.0
970,molten salt carnot battery,carnot battery,hereof installation,percent,upper,2050,60.0
